CandID,RaceID,Cat1,Cat2,Cat3,Cat4,Candidate,Incumbent,Referendum,VotesTotal,PrecTotal,RepTotal
83,9004,McHenry County,County Board,District 2,"(Republican) Vote for 2, 2-year terms",John Reinert,,,0,38,0
332,9005,McHenry County,County Board,District 3,"(Democrat) Vote for 2, 2-year terms",Kenneth Miller,,,0,41,0
265,9006,McHenry County,County Board,District 3,"(Republican) Vote for 2, 2-year terms",Nancy Gonsiorek,,,0,41,0
84,9006,McHenry County,County Board,District 3,"(Republican) Vote for 2, 2-year terms",Michael Walkup,*,,0,41,0
87,9006,McHenry County,County Board,District 3,"(Republican) Vote for 2, 2-year terms",Nick Provenzano,*,,0,41,0
89,9006,McHenry County,County Board,District 3,"(Republican) Vote for 2, 2-year terms",Cherie Rickert,,,0,41,0
343,9008,McHenry County,County Board,District 4,"(Republican) Vote for 2, 2-year terms",Sue Draffkorn,*,,0,35,0
90,9008,McHenry County,County Board,District 4,"(Republican) Vote for 2, 2-year terms",Craig Wilcox,,,0,35,0
92,9008,McHenry County,County Board,District 4,"(Republican) Vote for 2, 2-year terms",Kay Bates,,,0,35,0
264,9010,McHenry County,County Board,District 5,"(Democrat) Vote for 2, 2-year terms",Alex Wimmer,,,0,29,0
329,9011,McHenry County,County Board,District 5,"(Republican) Vote for 2, 2-year terms",Michael Skala,*,,0,29,0
95,9011,McHenry County,County Board,District 5,"(Republican) Vote for 2, 2-year terms",Andy Snarski,,,0,29,0
97,9011,McHenry County,County Board,District 5,"(Republican) Vote for 2, 2-year terms",Joe Calomino,,,0,29,0
333,9013,McHenry County,County Board,District 6,"(Democrat) Vote for 2, 2-year terms",Allison Barnard,,,0,31,0
99,9014,McHenry County,County Board,District 6,"(Republican) Vote for 2, 2-year terms",Preston Rea,,,0,31,0
100,9014,McHenry County,County Board,District 6,"(Republican) Vote for 2, 2-year terms",Ersel Schuster,,,0,31,0
101,9014,McHenry County,County Board,District 6,"(Republican) Vote for 2, 2-year terms",Kelly Liebmann,,,0,31,0
344,9014,McHenry County,County Board,District 6,"(Republican) Vote for 2, 2-year terms",James Kearns,,,0,31,0
346,9014,McHenry County,County Board,District 6,"(Republican) Vote for 2, 2-year terms",Mary McCann,*,,0,31,0
340,9024,McHenry County,State's Attorney,,"(Republican) Vote for 1, 4-year term",Daniel Regna,,,0,212,0
327,9024,McHenry County,State's Attorney,,"(Republican) Vote for 1, 4-year term",Patrick Kenneally,,,0,212,0
77,9027,McHenry County,Coroner,,"(Republican) Vote for 1, 4-year term",Anne Majewski,*,,0,212,0
75,9030,McHenry County,Auditor,,"(Republican) Vote for 1, 4-year term",Pamela Palmer,*,,0,212,0
105,9033,McHenry County,Recorder of Deeds,,"(Republican) Vote for 1, 4-year term",Joni Smith,,,0,212,0
107,9033,McHenry County,Recorder of Deeds,,"(Republican) Vote for 1, 4-year term",Tina Hill,,,0,212,0
108,9033,McHenry County,Recorder of Deeds,,"(Republican) Vote for 1, 4-year term",Joe Tirio,,,0,212,0
76,9036,McHenry County,Clerk of the Circuit Court,,"(Republican) Vote for 1, 4-year term",Katherine Keefe,*,,0,212,0
285,11001,Will County,Chief Executive Officer,,"(Democrat) Vote for 1, 4-year term",Lawrence M. Walsh,*,,0,303,0
339,11002,Will County,Chief Executive Officer,,"(Republican) Vote for 1, 4-year term",Laurie McPhillips,,,0,303,0
286,11015,Will County,State's Attorney,,"(Democrat) Vote for 1, 4-year term",James W. Glasgow,*,,0,303,0
284,11017,Will County,Auditor,,"(Democrat) Vote for 1, 4-year term",Duffy Blackburn,*,,0,303,0
337,11018,Will County,Auditor,,"(Republican) Vote for 1, 4-year term",Gary Good,,,0,303,0
71,11019,Will County,Recorder of Deeds,,"(Democrat) Vote for 1, 4-year term",Karen A. Stukel,*,,0,303,0
336,11020,Will County,Recorder of Deeds,,"(Republican) Vote for 1, 4-year term",Kristin Cross,,,0,303,0
70,11021,Will County,Clerk of the Circuit Court,,"(Democrat) Vote for 1, 4-year term",Robert Bob Enright,,,0,303,0
69,11021,Will County,Clerk of the Circuit Court,,"(Democrat) Vote for 1, 4-year term",Andrea Lynn Chasteen,,,0,303,0
334,11021,Will County,Clerk of the Circuit Court,,"(Democrat) Vote for 1, 4-year term",Barbara Guerrero,,,0,303,0
335,11022,Will County,Clerk of the Circuit Court,,"(Republican) Vote for 1, 4-year term",Marlene M. Carlson,,,0,303,0
72,11023,Will County,Coroner,,"(Democrat) Vote for 1, 4-year term",Patrick K. O'Neil,*,,0,303,0
170,13007,Judicial,Appellate Court,1st District (Epstein),(Democrat) Vote for 1,Eileen O'Neill Burke,,,0,0,0
187,13009,Judicial,Cook Circuit,"Biebel, Jr. vacancy",(Democrat) Vote for 1,John Fitzgerald Lyke Jr.,,,0,0,0
190,13011,Judicial,Cook Circuit,Elrod vacancy,(Democrat) Vote for 1,Scott Edward Lipinski,,,0,0,0
191,13011,Judicial,Cook Circuit,Elrod vacancy,(Democrat) Vote for 1,Rossana Patricia Fernandez,,,0,0,0
192,13013,Judicial,Cook Circuit,Hogan vacancy,(Democrat) Vote for 1,Michael J. O'Malley,,,0,0,0
193,13013,Judicial,Cook Circuit,Hogan vacancy,(Democrat) Vote for 1,Alison C. Conlon,,,0,0,0
194,13015,Judicial,Cook Circuit,"Howlett, Jr. vacancy",(Democrat) Vote for 1,"Aleksandra ""Alex"" Gillespie",,,0,0,0
321,13015,Judicial,Cook Circuit,"Howlett, Jr. vacancy",(Democrat) Vote for 1,Thomas Maloney Cushing ,,,0,0,0
197,13017,Judicial,Cook Circuit,Karnezis vacancy,(Democrat) Vote for 1,Mary Kathleen McHugh,,,0,0,0
195,13017,Judicial,Cook Circuit,Karnezis vacancy,(Democrat) Vote for 1,Brian J. O'Hara,,,0,0,0
198,13017,Judicial,Cook Circuit,Karnezis vacancy,(Democrat) Vote for 1,Devlin J. Schoop,,,0,0,0
200,13019,Judicial,Cook Circuit,Love vacancy,(Democrat) Vote for 1,Brendan A. O'Brien,,,0,0,0
201,13021,Judicial,Cook Circuit,O'Brien vacancy,(Democrat) Vote for 1,Maureen O'Donoghue Hannon,,,0,0,0
202,13023,Judicial,Cook Circuit,Ruscitti Grussel vacancy,(Democrat) Vote for 1,William S. Wojcik,,,0,0,0
203,13023,Judicial,Cook Circuit,Ruscitti Grussel vacancy,(Democrat) Vote for 1,John E. Marszalek,,,0,0,0
204,13023,Judicial,Cook Circuit,Ruscitti Grussel vacancy,(Democrat) Vote for 1,Daniel Patrick Duffy,,,0,0,0
322,13023,Judicial,Cook Circuit,Ruscitti Grussel vacancy,(Democrat) Vote for 1,Monica M. Torres-Linares,,,0,0,0
208,13025,Judicial,Cook Circuit,Walsh vacancy,(Democrat) Vote for 1,Fredrick H. Bates,,,0,0,0
207,13025,Judicial,Cook Circuit,Walsh vacancy,(Democrat) Vote for 1,Kevin Patrick Cunningham,,,0,0,0
206,13025,Judicial,Cook Circuit,Walsh vacancy,(Democrat) Vote for 1,Patrick Joseph Powers,,,0,0,0
184,13027,Judicial,Cook Circuit,10th Subcircuit (Howard),(Democrat) Vote for 1,Colleen Reardon Daly,,,0,0,0
182,13027,Judicial,Cook Circuit,10th Subcircuit (Howard),(Democrat) Vote for 1,Eve Marie Reilly,,,0,0,0
185,13027,Judicial,Cook Circuit,10th Subcircuit (Howard),(Democrat) Vote for 1,Michael John Malatesta,,,0,0,0
186,13027,Judicial,Cook Circuit,10th Subcircuit (Howard),(Democrat) Vote for 1,Stephanie Saltouros,,,0,0,0
183,13027,Judicial,Cook Circuit,10th Subcircuit (Howard),(Democrat) Vote for 1,"Richard ""Rick"" Cenar",,,0,0,0
180,13029,Judicial,Cook Circuit,11th Subcircuit (Kelly),(Democrat) Vote for 1,Marc Martin,,,0,0,0
325,13029,Judicial,Cook Circuit,11th Subcircuit (Kelly),(Democrat) Vote for 1,James DiChristofano,,,0,0,0
326,13029,Judicial,Cook Circuit,11th Subcircuit (Kelly),(Democrat) Vote for 1,Catherine Ann Schneider,,,0,0,0
181,13031,Judicial,Cook Circuit,11th Subcircuit (Zwick),(Democrat) Vote for 1,William B. Sullivan,,,0,0,0
178,13033,Judicial,Cook Circuit,12th Subcircuit (Tristano),(Democrat) Vote for 1,Carrie Hamilton,,,0,0,0
179,13034,Judicial,Cook Circuit,12th Subcircuit (Tristano),(Republican) Vote for 1,David Studenroth,,,0,0,0
174,13035,Judicial,Cook Circuit,12th Subcircuit (Vacancy A),(Democrat) Vote for 1,James Edward Hanlon Jr.,,,0,0,0
366,13035,Judicial,Cook Circuit,12th Subcircuit (Vacancy A),(Democrat) Vote for 1,Allan W. Masters,,,0,0,0
175,13036,Judicial,Cook Circuit,12th Subcircuit (Vacancy A),(Republican) Vote for 1,Alex Kaplan,,,0,0,0
176,13036,Judicial,Cook Circuit,12th Subcircuit (Vacancy A),(Republican) Vote for 1,Richard Montgomery Craig,,,0,0,0
177,13036,Judicial,Cook Circuit,12th Subcircuit (Vacancy A),(Republican) Vote for 1,Steven A. Kozicki,,,0,0,0
330,13037,Judicial,Cook Circuit,"13th Subcircuit (Fecarotta, Jr.)",(Democrat) Vote for 1,"Ketki ""Kay"" Steffen",,,0,0,0
172,13038,Judicial,Cook Circuit,"13th Subcircuit (Fecarotta, Jr.)",(Republican) Vote for 1,Gary W. Seyring,,,0,0,0
171,13038,Judicial,Cook Circuit,"13th Subcircuit (Fecarotta, Jr.)",(Republican) Vote for 1,Richard George Karwaczka,,,0,0,0
173,13038,Judicial,Cook Circuit,"13th Subcircuit (Fecarotta, Jr.)",(Republican) Vote for 1,Kevin Michael O'Donnell,,,0,0,0
266,13049,Judicial,Appellate Court,1st District (Quinn),(Democrat) Vote for 1,Bertina E. Lampkin,,,0,0,0
323,13051,Judicial,Cook Circuit,4th Subcircuit (Kunkle),(Democrat) Vote for 1,Edward J. King,,,0,0,0
363,30032,DuPage County,County Board,District 1,"(Democrat) Vote for 1, 2-year term",Richard Accomando,,,0,117,0
150,30042,DuPage County,County Board,District 1,"(Republican) Vote for 1, 2-year term",Sam Tornatore,*,,0,117,0
224,30052,DuPage County,County Board,District 2,"(Democrat) Vote for 1, 2-year term",Elizabeth (Liz) Chaplin,*,,0,117,0
210,30062,DuPage County,County Board,District 2,"(Republican) Vote for 1, 2-year term",Elaine Zannis,,,0,117,0
209,30062,DuPage County,County Board,District 2,"(Republican) Vote for 1, 2-year term",Richard Blass,,,0,117,0
300,30062,DuPage County,County Board,District 2,"(Republican) Vote for 1, 2-year term",Anna Manzo,,,0,117,0
350,30062,DuPage County,County Board,District 2,"(Republican) Vote for 1, 2-year term",Zachary Wilson,,,0,117,0
296,30072,DuPage County,County Board,District 3,"(Democrat) Vote for 1, 2-year term",Joseph Heneghan,,,0,117,0
212,30082,DuPage County,County Board,District 3,"(Republican) Vote for 1, 2-year term",Gary Grasso,*,,0,117,0
214,30102,DuPage County,County Board,District 4,"(Republican) Vote for 1, 2-year term",Amy Grant,*,,0,117,0
298,30112,DuPage County,County Board,District 5,"(Democrat) Vote for 1, 2-year term",Tony Michelassi,*,,0,117,0
219,30122,DuPage County,County Board,District 5,"(Republican) Vote for 1, 2-year term",Janice Marie Anderson,,,0,117,0
221,30142,DuPage County,County Board,District 6,"(Republican) Vote for 1, 2-year term",James Zay,*,,0,117,0
370,30143,Referendum,Kane,,,Yes,,Put Content Here,0,0,0
371,30143,Referendum,Kane,,,No,,Put Content Here,0,0,0
4,30143,Referendum,Kane,,,No,,Put Content Here,0,0,0
3,30143,Referendum,Kane,,,Yes,,Put Content Here,0,0,0
